Race and Virulence Analysis of Puccinia triticina in China in 2014 and 2015		
First report of carrot torrado virus 1 and carrot thin leaf virus naturally infecting torilis arvensis ssp. Arvensis in Greece		
First report of colletotrichum kahawae subsp. Ciggaro causing anthracnose disease on tree tomato in Cundinamarca, Colombia		
First report of pythium ultimum crown and root rot of industrial hemp in the United States		
First report of capsicum chlorosis orthotospovirus infecting zucchini (Cucurbita pepo) in China		
First report of dickeya dianthicola causing blackleg disease on potato plants in Pakistan		
First report of Dickeya dianthicola in potatoes in Australia		
First report of black sigatoka of banana caused by mycosphaerella fijiensis in Bahia, Brazil		
First report of tobacco vein distorting virus infecting eupatorium adenophorum in China		
First report of phytophthora parvispora causing root rot of concinna prayer plant in China		
Spot blight on tobacco (Nicotiana tabacum) caused by stagonosporopsis cucurbitacearum in Guizhou province of China		
IsolateтАУcultivar interactions, in vitro growth, and fungicide sensitivity of fusarium oxysporum isolates causing seedling disease on soybean		
Fitness attributes of pythium aphanidermatum with dual resistance to mefenoxam and fenamidone		
First report of fusarium brasiliense causing root rot of dry bean in the United States		
First report of cocksfoot mottle virus infecting dactylis glomerata in forage production fields in California		
First report of acidovorax avenae subsp. Avenae causing bacterial leaf stripe of canna sp. in the southeastern United States		
First report of fusarium semitectum causing root rot of greenhouse pepper (Capsicum Annuum) in China		
First report of grapevine asteroid mosaic-associated virus infecting grapevines (Vitis vinifera) in Italy		
Genetic diversity and population structure of pythium irregulare from soybean and corn production fields in Ohio		
First report of tomato mottle mosaic virus in tomato crops in China		
First report of anthracnose on michelia champaca caused by colletotrichum fioriniae in China		
First report of anthracnose caused by colletotrichum tropicale on sauropus androgynus in China		
First report of ligustrum virus a on syringa reticulata var. Mandshurica (Oleaceae) with a new yellow vein and malformed needle-shaped leaf disease in China		
First report of тАШcandidatus phytoplasma asterisтАЩ associated with witchesтАЩ brooms on sharp-flowered rush (Juncus acutiflorus) in Poland		
Verticillium wilt caused by verticillium dahliae and v. Nonalfalfae in potato in northern China		
First report of ring spot on kadsura coccinea caused by neopestalotiopsis clavispora in China		
Incidence, identification, and mycoparasitic activity of clonostachys epichlo?л, a hyperparasite of the fungal endophyte epichlo?л typhina		
First report of pythium dissotocum causing pythium root rot on hydroponically grown lettuce in Connecticut		
First report of cucurbit aphid-borne yellows virus affecting chickpea (Cicer arietinum L.) in Sudan		
A novel disease of big-leaf mahogany caused by two fusarium species in Mexico		
First report of powdery mildew caused by golovinomyces ambrosiae on english daisy (Bellis perennis) in Korea		
Characterization and pathogenicity of botryosphaeriaceae fungi associated with declining urban stands of coast redwood in California		
First report of forsythia suspensa, spiraea vanhouttei, and viburnum lantana as new natural plant hosts of тАШcandidatus phytoplasma maliтАЩ, the causal agent of apple proliferation disease, in Lithuania		
Soybean vein necrosis virus naturally infecting yard-long bean (Vigna unguiculata ssp. sesquipedalis) and soybean (Glycine max) in Louisiana		
Simultaneous detection of multiple benzimidazole-resistant ??-tubulin variants of botrytis cinerea using loop-mediated isothermal amplification		
First report of тАШcandidatus phytoplasma asterisтАЩ subgroup 16SrI-AE associated with winter jasmine witchesтАЩ broom in Shandong, China		
First report of silver leaf caused by chondrostereum purpureum on vaccinium corymbosum in Oregon		
First report of leaf spot of spinach caused by Stemphylium beticola in Italy		
First report of the reniform nematode (Rotylenchulus reniformis) from soybean in Paraguay		
First report of lasiodiplodia gilanensis causing twig and leaf blight on machilus thunbergii in Zhejiang province of China		
First report of basal stem rot on oil palm caused by thielaviopsis Paradoxa in Hainan, China		
First report of moroccan watermelon mosaic virus in zucchini in Iran		
First report of lethal yellowing associated with phytoplasma subgroup 16SrIV-A on silver date palm and Chinese windmill palm in Louisiana		
First report of hibiscus chlorotic ringspot virus infecting hibiscus in Fujian Province, China		
First report of heterodera hordecalis, a cereal cyst nematode, on wheat in Algeria		
First report of powdery mildew caused by erysiphe alphitoides on exochorda racemosa in China		
Detecting wheat powdery mildew and predicting grain yield using unmanned aerial photography		
Occurrence of outbreak of leaf spot caused by corynespora cassiicola in Strawberry in China		
First report of ceratocystis fimbriata causing wilt of Loquat in Pakistan		
Leaf blight on curcuma wenyujin caused by phoma matteucciicola in China		
An improved technique for sorting developmental stages and assessing egg viability of globodera pallida using high-throughput complex object parametric analyzer and sorter		
First report of sudden death syndrome of soybean caused by fusarium virguliforme in New York		
First report of citrus viroid V naturally infecting grapefruit and calamondin trees in California		
First report of papaya leaf curl guandong virus in Bell Pepper in Korea		
First report of brown leaf blight of shenguyou (Staphylea bumalda) caused by alternaria alternata in China		
First report of poplar leaf rust caused by melampsora medusae on populus Mexicana in the United States		
First report of the mistletoe phoradendron quadrangulare (Viscaceae) on moringa oleifera (Moringaceae) in Mexico		
First report of alfalfa leaf curl virus affecting alfalfa (Medicago sativa) in Jordan, Lebanon, Syria, and Tunisia		
Infection by candidatus liberibacter solanacearumтАЩ haplotypes A and B in solanum lycopersicum тАШMoneymakerтАЩ		
New isolates of sweet potato feathery mottle virus and sweet potato virus c: Biological and molecular properties, and recombination analysis based on complete genomes		
Pathogenicity of ganoderma species on landscape trees in the Southeastern United States		
First report of downy mildew disease caused by Peronospora effusa on spinach in Turkey		
First report of neopestalotiopsis clavispora causing root and crown rot on strawberry plants in Argentina		
First report of an emaravirus associated with witchesтАЩ broom disease and eriophyid mite infestations of the blue palo verde tree in Arizona		
Fungicide and cultivar management of leaf spot diseases of winter wheat in western canada		
First report of Penicillium expansum (link) thom. causing postharvest fruit rot of Kiwifruit in Northern Greece		
Rapid detection of ustilaginoidea virens from rice using loop-mediated isothermal amplification assay		
Dna sequence dimorphisms in populations of the clubroot pathogen plasmodiophora brassicae		
Genotyping points to divergent evolution of тАШcandidatus phytoplasma asterisтАЩ strains causing north american grapevine yellows and strains causing aster yellows		
Responses of heterodera glycines and meloidogyne incognita infective juveniles to root tissues, root exudates, and root extracts from three plant species		
First report of sida micrantha mosaic virus infecting oxalis species in Brazil		
First report of coleus blumei viroid 5 and molecular confirmation of coleus blumei viroid 1 in commercial coleus blumei in Canada		
The colonization process of sunflower by a green fluorescent protein-tagged isolate of verticillium dahliae and its seed transmission		
First report of fusarium stem canker on pyrularia pubera, a rare native parasitic shrub in forests of southwestern Pennsylvania		
First report of powdery mildew caused by Erysiphe berberidicola on Berberis thunbergii in Korea		
First report of curvularia leaf spot of rose in Pakistan		
Sensitivity of botrytis cinerea isolates from conventional and organic strawberry fields in brazil to azoxystrobin, iprodione, pyrimethanil, and thiophanate-methyl		
Identification of tomato yellow leaf curl virus-IR and associated tomato leaf curl betasatellite infecting common bean (Phaseolus vulgaris) in Oman		
First report of pseudomonas syringae pv. syringae associated with bacterial blossom blast on apple (Malus pumila) in the United States		
Characteristics of xanthomonas cucurbitae isolates from pumpkins and survival of the bacterium in pumpkin seeds		
Spatiotemporal distribution pattern of sclerotinia sclerotiorum apothecia is modulated by canopy closure and soil temperature in an irrigated soybean field		
First report of тАШCandidatus phytoplasma asterisтАЩ subgroup 16SrI-D associated with Rosa xanthina witches- broom in China		
First report of corynespora cassiicola causing leaf spot disease on buxus sinica subsp. Sinica var. parvifolia in China		
First report of Powdery Mildew caused by golovinomyces ambrosiae on brachyscome multifida in Korea		
First report of anthracnose caused by colletotrichum truncatum on basella alba in China		
First report of pratylenchus coffeae on breadfruit (Artocarpus altilis) in the United States		
First report of fusarium species associated with fusarium wilt in coffea canephora plants in Brazil		
First report of curvularia asianensis causing leaf blotch of epipremnum pinnatum in Guangxi autonomous region of China		
Detection and characterization of qoi-resistant phytophthora capsici causing pepper phytophthora blight in china		
First report of tar spot on corn (Zea mays) caused by phyllachora maydis in Florida, Iowa, Michigan, and Wisconsin		
First report of common bean (Phaseolus vulgaris) root rot caused by plectosphaerella cucumerina in China		
First report of diaporthe nobilis causing postharvest rot of blueberry in Shandong Province, China		
Genetic diversity of pseudomonas savastanoi pv. Savastanoi in california and characterization of epidemiological factors for olive knot development		
First report of fruit rot of watermelon caused by fusarium equiseti in China		
Natamycin, a new biofungicide for managing crown rot of strawberry caused by qoi-resistant colletotrichum acutatum		
Genomic analysis, sequence diversity, and occurrence of apple necrotic mosaic virus, a novel ilarvirus associated with mosaic disease of apple trees in china		
Molecular characterization, fitness, and mycotoxin production of fusarium asiaticum strains resistant to fludioxonil		
First report of the root lesion nematode, pratylenchus bolivianus, on aspalathus linearis in South Africa		
First report of Cladosporium cladosporioides causing leaf spot on Alstroemeria aurea in Brazil		
First report of sweet potato badnavirus A and sweet potato badnavirus B in South Africa		
First report of arabis mosaic virus in rhubarb in Poland		
First report of mucor fragilis causing bunch rot of grapes in Punjab, Pakistan		
First report of colletotrichum truncatum causing anthracnose in tomato fruit in trinidad		
First report of powdery mildew on mountain mints (Pycnanthemum spp.) caused by golovinomyces monardae in the United States		
Evaluating the sensitivity and efficacy of fungicides with different modes of action against botryosphaeria dothidea		
Retention of resistance to fusarium oxysporum f. Sp. niveum in cucurbit rootstocks infected by meloidogyne incognita		
Fusarium proliferatum: A new pathogen causing fruit rot of peach in Ningde, China		
First report of maize yellow mosaic virus on zea mays in South Korea		
Pectobacterium and dickeya responsible for potato blackleg disease in new york state in 2016		
First report of diaporthe amygdali causing walnut twig canker in Shandong Province of China		
First report on the occurrence of a globally new pathotype, 724, of plasmopara halstedii causing sunflower downy mildew in Hungary		
Pyricularia oryzae causing blast on foxtail millet in Iran		
A novel strain of the begomovirus tomato leaf curl Sudan virus infecting datura stramonium in Sudan		
Occurrence of the cereal cyst nematode heterodera filipjevi on winter barley (Hordeum vulgare L.) in China		
First report of the cereal cyst nematode (Heterodera filipjevi) on wheat in Algeria		
First report of white root rot caused by Rosellinia necatrix on Persea americana in South Africa		
Detection of latent peronospora effusa infections in spinach		
First report of Macrophomina phaseolina causing crown and root rot on strawberry in Italy		
Effects of temperature and moisture on the infection and development of apple fruit rot caused by phytophthora cactorum		
Cropping system diversification reduces severity and incidence of soybean sudden death syndrome caused by fusarium virguliforme		
Scout, snap, and share: First impressions of plant disease monitoring using social media		
First report of fruit blight caused by Arthrinium xenocordella on Pistacia vera in Italy		
First report of colletotrichum gloeosporioides causing anthracnose of tejocote (Crataegus gracilior) fruits in Mexico		
Characterization of monilinia spp. Populations on stone fruit in south italy		
First report of grapevine red globe virus in grapevine in Germany		
First report of charcoal rot caused by Macrophomina phaseolina in Basella alba in India		
First report of powdery mildew caused by Erysiphe berberidicola on berberis thunbergii var. Atropurpurea in China		
Phomopsis black root rot of cucumber in Washington state caused by Diaporthe sclerotioides		
First report of white mold caused by Sclerotinia sclerotiorum on faba beans in North Dakota		
Identification of eight Solanum (subgenus Leptostemonum) species as novel natural hosts of Tomato chlorosis virus in Brazil		
First report of Botrytis cinerea causing fruit rot of Crataegus pinnatifida in China		
First report of a leaf spot caused by Paramyrothecium roridum on tectona grandis in Brazil		
First report of grapevine virus T in grapevine in Germany		
First report of Fusarium petroliphilum causing fruit rot of butternut squash in Spain		
First report of Fusarium commune causing root rot disease of sugarcane (Var. Badila) in China		
First report of powdery mildew caused by Golovinomyces spadiceus on okra in the United States		
First report of Fusarium pseudograminearum causing crown rot of wheat in Europe		
First report of grapevine latent viroid infecting grapevine (Vitis vinifera) in Italy		
First report of Desarmillaria tabescens found on Ulmus pumila in South Korea		
Blueberry scorch virus detected on blueberry plants imported into China		
First report of leaf spot caused by Phoma multirostrata var. Microspora on Dendrobium officinale in Zhejiang Province of China		
First report of leaf spot disease on microstegium vimineum caused by bipolaris panici-miliacei in China		
Occurrence of alternaria blotch associated with Alternaria alternata, a. Arborescens, a. infectoria, and a. tenuissima on apples in Chile		
First report of Diplodia sapinea and Diplodia scrobiculata causing an outbreak of tip blight on slash pine in Florida		
First report of Alternaria alternata causing fruit rot of grapes in Pakistan		
First report of tawny blotch caused by Parastagonospora caricis on phalaris arundinacea in New York		
First report of a leaf spot caused by Boeremia exigua var. Exigua on Hydrangea paniculata in Italy		
First report of crown, root and stem rot caused by binucleate Rhizoctonia AG-R on Mandevilla sanderi hybrid in Italy		
First report of Papaya leaf curl China virus infecting Acalypha australis in China		
First report of Colletotrichum siamense causing anthracnose on partridge tea (Mallotus oblongifolius) in China		
First report of Athelia rolfsii causing damping off in Araucaria bidwillii (Bunya pine) in Brazil		
First report of damping-off on seedlings of coffee caused by Rhizoctonia solani AG-4 HG I, AG-1 IB and binucleate Rhizoctonia AG-A in China		
First report of canker disease of Hibiscus mutabilis caused by Lasiodiplodia theobromae in China		
First report of Nectria pseudotrichia causing crown rot of strawberry in China		
Occurrence of tomato spotted wilt virus infecting snapdragon (Antirrhinum majus) in India		
First report of Corynespora cassiicola causing leaf spot on lonicera maackii in China		
First report of gray mold caused by Botrytis cinerea on marigold (Tagetes erecta) in Korea		
First report of Nigrospora sphaerica causing kiwifruit postharvest rot disease in China		
First report of Pestalotiopsis clavispora causing root rot on blueberry in China		
First report of Pectobacterium carotovorum subsp. brasiliense causing blackleg and stem rot on potato in China		
First report of Soybean yellow mottle mosaic virus on soybean (Glycine max) in India		
First report of Collophora hispanica and C. Paarla causing branch cankers of almond in California		
First report of charcoal rot caused by Macrophomina phaseolina on hemp (Cannabis sativa) varieties cultivated in southern Spain		
First report of bacterial leaf spot caused by the Quarantine pathogen Xanthomonas arboricola pv. Pruni on peach in Hungary		
First report of Alternaria arborescens species complex causing leaf blotch and associated premature leaf drop of тАШgolden deliciousтАЩ apple trees in the Netherlands		
First report of Rhizoctonia solani AG-1-IB causing leaf spot on Peucedanum praeruptorum in China		
First report of тАШCandidatus phytoplasma trifoliiтАЩ-related strain associated with a new disease in tomatillo plants in Zacatecas, Mexico		
First report of Botryosphaeria dothidea causing fruit rot of rellowhorn (Xanthoceras sorbifolium) in China		
Detection of Alternaria alternata causing leaf spot on Rumex obtusifolius in southern Brazil		
First report of sclerotinia boll rot and stem blight of cotton in Arizona		
First report of powdery mildew caused by Podosphaera xanthii on okra in Korea		
First report of Tomato spotted wilt virus in Hoya carnosa in Korea		
First report of pythium root rot caused by Pythium mastophorum on parsley in the United States		
First report on Meloidogyne enterolobii in morus celtidifolia in Paran?б state, Brazil		
First report of soybean vein necrosis virus infecting kudzu (Pueraria montana) in the United States of America		
First report of Phyllosticta citricarpa causing citrus black spot on citrus sinensis and C. Reticulata in India		
First report of leaf curl on celery caused by Colletotrichum acutata sensu lato in Georgia		
First report of Pyricularia leaf spot on St. Augustine grass (Stenotaphrum secundatum) in China		
First report of Pseudomonas syringae pv. Syringae causing bacterial blister bark on apple in Norway		
First report of Hibiscus-infecting cilevirus in citrus sinensis in Meta and Casanare, Colombia		
First report of root rot caused by Corynespora cassiicola on sesame in China		
First report of potato cyst nematode Globodera pallida infecting potato (Solanum tuberosum) in Kenya		
Development of a LAMP method for detecting SDHI fungicide resistance in botrytis cinerea		
Evaluating the profitability of foliar fungicide programs in mid-atlantic soft-red winter wheat production		
Development of loop-mediated isothermal amplification assays for the detection of seedborne fungal pathogens fusarium fujikuroi and magnaporthe oryzae in rice seed		
Heteroplasmy for the cytochrome b gene in podosphaera xanthii and its role in resistance to qoi fungicides in Spain		
Identification and characterization of citrus chlorotic spot virus, a new dichorhavirus associated with citrus leprosis-like symptoms		
Resistance to fluopicolide and propamocarb and baseline sensitivity to ethaboxam among isolates of pseudoperonospora cubensis from the Eastern United States		
Assessment of erysiphe necator ascospore release models for use in the mediterranean climate of western oregon		
Variation in genetic diversity of phytophthora infestans populations in Mexico from the center of origin outwards		
Quantitative trait loci (Qtls) for intumescence severity in eucalyptus globulus and validation of QTL detection based on phenotyping using open-pollinated families of a mapping population		
Neoscytalidium dimidiatum causing canker, shoot blight and fruit rot of almond in California		
Variation in fungicide sensitivity among rhizoctonia isolates recovered from potatoes in South Africa		
Long-distance spread of verticillium dahliae through rivers and irrigation systems		
Dynamics of fungicide sensitivity in venturia effusa and fungicide efficacy under field conditions		
Standardizing pathogenicity assays for fusarium wilt pathogens of ornamental palms		
Combining thermotherapy with cryotherapy for efficient eradication of apple stem grooving virus from infected in-vitro-cultured apple shoots		
Control of egyptian broomrape in processing tomato: A summary of 20 years of research and successful implementation		
Molecular methods to detect and quantify botryosphaeriaceae inocula associated with grapevine dieback in Australia		
Detection and identification of six monilinia spp. Causing brown rot using taqman real-time pcr from pure cultures and infected apple fruit		
Nanopore sequencing as a surveillance tool for plant pathogens in plant and insect tissues		
Characterization and genetic structure of a tospovirus causing chlorotic ring spots and chlorosis disease on peanut	 comparison with Iranian and polish populations of tomato yellow fruit ring virus	
Paecilomyces rot: A new apple disease		
First record of basal stem rot of foxtail palm Wodyetia bifurcata caused by Ganoderma boninense in Malaysia		
First report of Botrytis cinerea causing gray mold disease of bell pepper (Capsicum annuum) fruit in Pakistan		
First report of powdery mildew caused by Pseudoidium hortensiae on Hydrangea serrata f. Acuminata in Korea		
First report of anthracnose caused by Colletotrichum nymphaeae on kiwiberry in Korea		
Identification of Golovinomyces cichoracearum as the powdery mildew-causing agent of chicory in Brazil		
First report of downy mildew of double knock out rose caused by Peronospora sparsa in Maryland		
First report of stem die-back on Platanus ?Ч acerifolia caused by neofusicoccum parvum in China		
First report of Colletotrichum boninense causing leaf anthracnose on Eucalyptus robusta (Smith) in the upper reaches of Yangtze River		
First report of powdery mildew caused by Erysiphe quercicola on Quercus robur in Korea		
First report of Cucumber mosaic virus infecting Metaplexis japonica (Thunb.) makino in China		
First report of cobweb disease of Auricularia polytricha caused by Cladobotryum cubitense in Xuzhou, China		
First report of Neofusicoccum nonquaesitum in Chile causing branch dieback and decline in Araucaria Araucana		
First report that Pestalotiopsis clavispora causes leaf spots on Photinia serratifolia in China		
First report of Corynespora leaf spot caused by Corynespora cassiicola on Duranta repens in China		
First report of leaf spot of Hylotelephium erythrostictum caused by Alternaria alternata in Heilongjiang Province of China		
First report of twig dieback and cankers caused by Eutypa lata on quince in South Africa		
First report of Puccinia sparganioides affecting prairie cordgrass (Spartina pectinata) in Illinois		
First report of Peronospora sp. Causing downy mildew disease on Geum sp. in Maryland and New York		
First report of white blister rust caused by Albugo lepidii on broad leaf pepperwort (Lepidium affine) in China		
First report of red rot of jujube fruit caused by Botryosphaeria dothidea in China		
First report of verticillium wilt of Ailanthus altissima in Hungary caused by Verticillium dahliae		
First report of Moroccan pepper virus on clematis in Russia and worldwide		
First report of Choanephora cucurbitarum on Crotalaria spectabilis: A highly aggressive pathogen causing a flower and stem blight in Brazil		
First report of fungal leaf spot in Echeveria spp. Caused by Cladosporium tenuissimum in Korea		
First report of leaf spot caused by Alternaria alternata on Echinacea purpurea in Italy		
First report of Grapevine virus B in Grapevine in Korea		
First report of Nerine latent virus in ornamental Crinum in the United States		
First report of peach-associated luteovirus in nectarine (Prunus persica) in Italy		
First report of Botryosphaeria dothidea causing stem canker and plant death in Malosma laurina in Southern California		
First report of a subgroup 16SrIX-E (тАШCandidatus phytoplasma phoeniciumтАЩ-related) phytoplasma associated with phyllody and stem fasciation of sunn hemp (Crotalaria juncea L.) in India		
First report of leaf spot disease in Aloe vera caused by Nigrospora oryzae in Bangladesh		
First report of Diplodia mutila causing branch dieback of English Walnut cv. Chandler in the Maule Region, Chile		
First report of powdery mildew caused by Golovinomyces ambrosiae on Helianthus salicifolius in Korea		
Occurrence of Bipolaris oryzae causing leaf spot on Brachypodium distachyon in Brazil		
First report of Fusarium Pseudograminearum causing root rot on soybean (Glycine max) in Henan, China		
First report of charcoal rot in tomato caused by Macrophomina phaseolina (Tassi) Goid. from Pakistan		
First conclusive report of an Erysiphe sp. Causing powdery mildew on moth vine (Araujia sericifera) in Australia and worldwide		
First report of grapevine rupestris vein feathering virus infecting grapevines in Korea		
First report of southern tomato virus in tomato (Solanum lycopersicum) in Korea		
First report of Adisciso kaki causing black leaf spot on Diospyros kaki cv. Jinpingshi in China		
First report of gray mold caused by Botrytis cinerea on Paris polyphylla in China		
First report of Nothophoma quercina causing trunk canker on crabapple (Malus micromalus) in China		
Phoma herbarum causing leaf spot of largehead Atractylodes in central China		
First report of Streptomyces bottropensis causing potato common scab in Galicia, Spain		
First report of leaf blotch caused by phaeosphaeria avenaria on leymus chinensis (Chinese rye grass) in China		
First report of Fusarium fujikuroi causing root rot of Reineckia carnea in the world		
Colletotrichum cymbidiicola causes leaf spot of cymbidium ensifolium in Jilin province, China		
Occurrence of Pea seed-borne mosaic virus in field peas in North Dakota		
First report of Turnip yellows virus in Daphne odora in New Zealand		
First report of Groundnut ring spot virus on Physalis peruviana in Brazil		
First reports of Diaporthe kongii, D. masirevicii, and D. ueckerae associated with stem and peg dieback on Peanut in Australia		
First report of Tomato chlorotic spot virus infecting common beans (Phaseolus vulgaris) in the United States		
First report of Dasheen mosaic virus infecting taro (Colocasia esculenta) from Ethiopia		
First report of a mixed infection of pepper mild mottle virus and tobacco mild green mosaic virus in pepper (Capsicum annuum) in the United States		
First report of Phytophthora nicotianae causing crown rot of strawberry in the United States		
First report of leaf spot disease caused by Colletotrichum gloeosporioides on pouteria caimito in China		
First report of Botrytis cinerea causing gray mold disease on the endemic plant Echinopsis coquimbana in the Coquimbo Region, Chile		
First report of anthracnose of Japanese plum (Prunus salicina) caused by Colletotrichum nymphaeae in Korea		
First report of Diaporthe eres causing twig canker on Zizyphus jujuba (Jujube) in China		
First report of damping-off of dent corn seedlings caused by Pythium graminicola in Georgia		
First report of Beet western yellows virus infecting Crocus sativus in China		
First report of natural infection of Tobacco bushy top virus on tomato and pepper in China		
Reemergence of hop powdery mildew (Podosphaera macularis) in Wisconsin		
First report of avocado sunblotch viroid (ASBVd) naturally infecting avocado (Persea Americana) in Greece		
QTL analysis for downy mildew resistance in cucumber inbred line PI 197088		
Development of SNP-based markers to identify Colletotrichum gossypii in Upland cotton		
Assessing potato cultivar sensitivity to tuber necrosis caused by Tobacco rattle virus		
Use of LAMP detection to identify potential contamination sources of plant-pathogenic pythium species in hydroponic culture systems of tomato and eustoma		
Grapevine trunk diseases: A review of fifteen years of trials for their control with chemicals and biocontrol agents		
Susceptibility of hop crown buds to powdery mildew and its relation to perennation of podosphaera macularis		
Discovery of viruses and virus-like pathogens in pistachio using high-throughput sequencing		
Cassava brown streak disease and Ugandan cassava brown streak virus reported for the first time in Zambia		
Links between genetic groups, host specificity, and ergot-alkaloid profiles within claviceps purpurea (Fr.) Tul. on slovenian grasses		
Eutypa, eutypella, and cryptovalsa species (Diatrypaceae) associated with prunus species in south africa		
An overview of Canadian research activities on diseases caused by phytophthora ramorum: Results, progress, and challenges		
Chemical management of invasive shot hole borer and fusarium dieback in California sycamore (Platanus racemosa) in Southern California		
Powdery mildew resistant rootstocks that impart tolerance to grafted susceptible watermelon scion seedlings		
Population dynamics of xanthomonads associated with bacterial spot of tomato and pepper during 27 years across Taiwan		
Discovery of negative-sense RNA viruses in trees infected with apple rubbery wood disease by next-generation sequencing		
Zonal soil amendment with simple sugars to elevate soil C/N ratios as an alternative disease management strategy for rhizoctonia damping-off of sugar beet		
Prunus geminivirus A: A novel grablovirus infecting prunus spp.		
Detection and molecular characterization of resistance to the dicarboximide and benzamide fungicides in Botrytis cinerea from tomato in Hubei Province, China		
Effect of metalloid and metal oxide nanoparticles on fusarium wilt of watermelon		
Importance of transplanted onions contributing to late-season iris yellow spot virus epidemics in new york		
Ascospore inoculum density and characterization of components of partial resistance to sclerotinia sclerotiorum in soybean		
Identification and characterization of colletotrichum species associated with mango anthracnose in guangxi, china		
Evaluation of phenamacril and ipconazole for control of rice bakanae disease caused by Fusarium Fujikuroi		
Susceptibility of fourteen new cucurbit species to gummy stem blight caused by stagonosporopsis citrulli under field conditions		
Fitness traits of deoxynivalenol and nivalenol-producing fusarium graminearum species complex strains from wheat		
Pathogenicity of Phyllosticta citricarpa ascospores on Citrus spp		
Alternaria malicola sp. nov., a new pathogen causing fruit spot on apple in China		
First report of prunus virus F infecting sweet cherry (Prunus avium cv. Staccato) in Canada		
First report of fruit spot on pepper caused by Erwinia aphidicola in China		
First report of colletotrichum acutatum causing anthracnose in feijoa sellowiana in Italy		
Assessing potato cultivar sensitivity to tuber necrosis caused by potato mop-top virus		
Hormetic effects of flusilazole preconditioning on mycelial growth and virulence of Sclerotinia sclerotiorum		
A review of a century of studies on South American leaf blight of the rubber tree		
Physiologic specialization of Puccinia triticina on wheat in the United States in 2016		
Benefits and profitability of fluopyram-amended seed treatments for suppressing sudden death syndrome and protecting soybean yield a meta-analysis		
Two novel fungal symbionts Fusarium kuroshium sp. Nov. and graphium kuroshium sp. nov. of kuroshio shot hole borer (euwallacea sp. nr. fornicatus) cause fusarium dieback on woody host species in California		
Effect of fusarium head blight management practices on mycotoxin contamination of wheat straw		
Resistance of Aegilops longissima to the rusts of wheat		
Phenology-based management of alternaria fruit rot in pink lady apples		
Characterization of the black shank pathogen, phytophthora nicotianae, across North Carolina tobacco production areas		
Differences in molecular characteristics of segment 8 in rice black-streaked dwarf virus and southern rice black-streaked dwarf virus		
Use of features from fluorescence, thermography, and NDVI imaging to detect biotic stress in lettuce		
Novel seimatosporium species from grapevine in northern california and their interactions with fungal pathogens involved in the trunk-disease complex		
Inheritance and allelic relationship among downy mildew resistance genes in pearl millet		
First report of blue mold caused by Penicillium oxalicum in sweetpotato (Ipomoea batatas) in Korea		
First report of leptosphaeria biglobosa causing blackleg on broccoli (Brassica oleracea var. Italica) in central China		
First report of Pestalotiopsis clavispora (Neopestalotiopsis clavispora) causing canker and twig dieback on blueberry bushes in Spain		
First report of powdery mildew on Verbascum thapsus caused by Golovinomyces verbasci in the United States		
First report of tomato spotted wilt virus infecting chrysanthemum in China		
First report of rhizopus head rot of sunflower caused by Rhizopus arrhizus (syn. R. oryzae) in Xinjiang and Gansu provinces of China		
First report of powdery mildew caused by Golovinomyces spadiceus on Helianthus annuus		
First report of Drechslera andersenii causing leaf spot on perennial ryegrass in Jiangsu China		
First report of powdery mildew caused by Podosphaera xanthii on Ricinus communis in Korea		
First report of Gilbertella persicaria causing soft rot in eggplant fruit in Brazil		
First report of pink seed of lucerne caused by erwinia rhapontici in China		
First report of alternaria leaf spot caused by Alternaria chlamydosporigena on tomato in Iran		
First report of leaf rust on southern highbush blueberry caused by thekopsora minima in California		
First report of Chilli vein mottle virus infecting Solanum aethiopicum in China		
First report of red dragon fruit (Hylocereus polyrhizus) anthracnose caused by Colletotrichum siamense in China		
First report of leaf blight caused by Curvularia verruculosa on zoysiagrass (Zoysia japonica) in Korea		
First report of leaf spot caused by truncatella angustata on Persian oak (Quercus brantii) in Iran		
First report of postharvest rot caused by pestalotiopsis sp. on grapes in Punjab, Pakistan		
First report of Zucchini yellow mosaic virus in chayote (Sechium edule) in Korea		
First report of anthracnose caused by Colletotrichum higginsianum on rumex acetosa in China		
First report of Cucumber mosaic virus infection in kiwifruit (Actinidia chinensis) in China		
Pseudomonas syringae pathogen causes foliar disease of upland cotton in Texas		
First report of passion fruit woodiness virus associated with passion fruit woodiness disease of passion fruit in Nigeria		
First report of rhizoctonia crown rot on carpathian bellflower (Campanula carpatica) in northern Italy		
First report of Colletotrichum truncatum causing anthracnose of begonia in China		
First report of a cilevirus associated with green ringspot on senescent hibiscus leaves in Tampa, Florida		
First report of Fusarium fujikuroi causing stem wilt on Canna edulis ker in China		
First report of colletotrichum gloeosporioides causing anthracnose spot on Cassia fistula in Brazil		
Fungicide resistance in botrytis fragariae and species prevalence in the Mid-Atlantic United states		
Control of bullтАЩs-eye rot of apple caused by neofabraea perennans and neofabraea kienholzii using pre- and postharvest fungicides		
Evaluation of a model for predicting the infection risk of squash and cantaloupe by pseudoperonospora cubensis		
Baseline sensitivity and control efficacy of tetramycin against phytophthora capsici isolates in china		
Plant virus epidemiology: Applications and prospects for mathematical modeling and analysis to improve understanding and disease control		
Digital PCR technology for detection of palm-infecting phytoplasmas belonging to group 16SrIV that occur in Florida		
The biology and phylogenetics of potato virus s isolates from the andean region of south America		
